plate_number,mark,manufactured
Улсын дугаар: 0686 УНА,Загвар: ISUZU Wizard,Үйлдвэрлэсэн он: 1999
Улсын дугаар: 8375 УНГ,Загвар: TOYOTA Crown,Үйлдвэрлэсэн он: 2008
Улсын дугаар: 8386 УНА,Загвар: TOYOTA Corolla RunX,Үйлдвэрлэсэн он: 2003
Улсын дугаар: 4141 УНО,Загвар: TOYOTA Verossa,Үйлдвэрлэсэн он: 2002
Улсын дугаар: 0163 УНА,Загвар: TOYOTA 4Runner,Үйлдвэрлэсэн он: 1999
Улсын дугаар: 1374 УНО,Загвар: NISSAN Pulsar,Үйлдвэрлэсэн он: 2000
Улсын дугаар: 3611 УНА,Загвар: MERCEDES BENZ 200,Үйлдвэрлэсэн он: 1997
Улсын дугаар: 8079 УНГ,Загвар: TOYOTA Prius,Үйлдвэрлэсэн он: 2005
Улсын дугаар: 6257 УНО,Загвар: UAZ 39094,Үйлдвэрлэсэн он: 2011
Улсын дугаар: 4134 УНГ,Загвар: HYUNDAI Porter,Үйлдвэрлэсэн он: 2000
Улсын дугаар: 3257 УНН,Загвар: HYUNDAI Accent Verna,Үйлдвэрлэсэн он: 2001
Улсын дугаар: 8620 УНН,Загвар: HONDA Capa,Үйлдвэрлэсэн он: 1999
Улсын дугаар: 8696 УНА,Загвар: NISSAN Serena,Үйлдвэрлэсэн он: 2002
Улсын дугаар: 4887 УНН,Загвар: TOYOTA Prius,Үйлдвэрлэсэн он: 2011
Улсын дугаар: 7383 УНН,Загвар: TOYOTA Prius,Үйлдвэрлэсэн он: 2012
Улсын дугаар: 7543 УНО,Загвар: NISSAN Patrol,Үйлдвэрлэсэн он: 2011
Улсын дугаар: 3067 УНО,Загвар: TOYOTA Land Cruiser 100,Үйлдвэрлэсэн он: 2001
Улсын дугаар: 8688 УНО,Загвар: TOYOTA Mark II,Үйлдвэрлэсэн он: 2000
Улсын дугаар: 3130 УНА,Загвар: TOYOTA Crown,Үйлдвэрлэсэн он: 2002
Улсын дугаар: 3124 УНА,Загвар: TOYOTA corolla-Rumion,Үйлдвэрлэсэн он: 2008
Улсын дугаар: 6982 УНО,Загвар: TOYOTA Prius,Үйлдвэрлэсэн он: 2011
Улсын дугаар: 0402 УНГ,Загвар: HYUNDAI Porter,Үйлдвэрлэсэн он: 2006
Улсын дугаар: 6169 УНГ,Загвар: TOYOTA Vitz,Үйлдвэрлэсэн он: 2002
Улсын дугаар: 1397 УНГ,Загвар: TOYOTA Prius,Үйлдвэрлэсэн он: 2004
Улсын дугаар: 9228 УНН,Загвар: TOYOTA Prius,Үйлдвэрлэсэн он: 2004
Улсын дугаар: 4951 УНА,Загвар: TOYOTA Prius,Үйлдвэрлэсэн он: 2010
Улсын дугаар: 9849 УНА,Загвар: HYUNDAI Starex,Үйлдвэрлэсэн он: 2006
Улсын дугаар: 7642 УНО,Загвар: DAEWOO MD45D1,Үйлдвэрлэсэн он: 1997
Улсын дугаар: 3899 УНА,Загвар: TOYOTA Alphard,Үйлдвэрлэсэн он: 2004
Улсын дугаар: 4443 УНН,Загвар: TOYOTA Corolla,Үйлдвэрлэсэн он: 2001
Улсын дугаар: 3994 УНГ,Загвар: HYUNDAI Accent Verna,Үйлдвэрлэсэн он: 2002
Улсын дугаар: 5533 УНО,Загвар: TOYOTA Harrier,Үйлдвэрлэсэн он: 2001
